employee_id,age,gender,marital_status,city,education_level,years_experience,weekly_hours,department,bonus_percentage,performance_score,overtime_hours,monthly_income,income_class
1,39.0,Other,Single,Surabaya,S1,10.0,42.3,Marketing,6.5,64.3,5.8,7887,Low
2,34.0,Female,Single,Surabaya,S1,10.0,41.0,IT,9.7,87.6,10.149999999999999,10870,High
3,40.0,Male,Married,Surabaya,SMA,4.0,42.3,HR,12.7,61.5,12.3,6228,Low
4,47.0,Female,Single,Jakarta,S1,4.0,42.2,Marketing,9.9,81.6,13.3,7041,Low
5,33.0,Male,Married,Surabaya,D3,15.0,31.1,IT,11.5,71.9,13.7,9657,High
6,33.0,Female,Married,Jakarta,D3,12.0,43.2,HR,7.4,73.3,1.9,11030,High
7,48.0,Male,Divorced,Jakarta,S1,15.0,36.6,HR,10.3,93.6,6.6,11961,High
8,41.0,Female,Single,Surabaya,S1,12.0,34.5,Sales,9.5,62.5,3.2,10393,High
9,31.0,Female,Single,Jakarta,D3,11.0,34.5,HR,10.3,80.9,10.9,10853,High
10,39.0,Male,Married,Bandung,S2,1.0,42.2,IT,9.9,80.5,3.4,4159,Low
11,31.0,Male,Married,Jakarta,D3,9.0,38.9,Marketing,9.9,108.5,0.1,8202,Low
12,31.0,Male,Divorced,Surabaya,S1,10.0,31.6,Marketing,7.4,64.2,8.8,7314,Low
13,37.0,Other,Married,Surabaya,D3,10.0,42.4,Sales,9.5,68.7,1.0,14143,High
14,20.0,Male,Married,Bandung,S1,13.0,32.8,IT,9.9,83.2,11.3,10444,High
15,21.0,Female,Single,Bandung,S2,18.0,40.7,HR,10.3,73.0,3.7,13680,High
16,31.0,Male,Single,Jakarta,SMA,13.0,41.2,Sales,6.6,70.4,5.8,12260,High
17,27.0,Male,Single,Jakarta,S2,6.0,44.4,Finance,10.7,84.6,1.4,7933,Low
18,38.0,Female,Single,Bandung,S1,10.0,48.9,IT,8.7,72.3,18.3,10391,High
19,28.0,Female,Married,Surabaya,S1,11.0,33.2,Sales,7.9,66.1,2.7,7726,Low
20,24.0,Female,Married,Surabaya,SMA,5.0,39.7,Marketing,10.9,82.3,8.2,7340,Low
21,47.0,Female,Married,Bandung,S1,8.0,38.6,Sales,9.5,78.8,1.0,7705,Low
22,33.0,Female,Married,Bandung,S1,9.0,42.2,Unknown,11.4,71.9,5.8,9606,High
23,36.0,Male,Married,Surabaya,SMA,18.0,41.1,IT,9.9,71.4,9.850000000000001,12683,High
24,24.0,Male,Married,Surabaya,S2,0.0,38.2,Sales,11.5,65.9,11.5,5024,Low
25,32.0,Male,Married,Jakarta,SMA,16.0,37.8,HR,10.3,82.3,6.4,12166,High
26,36.0,Male,Married,Bandung,SMA,5.0,34.4,IT,9.9,71.4,9.8,6934,Low
27,26.0,Other,Single,Bandung,S1,3.0,44.9,Sales,14.2,67.3,7.2,6380,Low
28,38.0,Female,Married,Bandung,S1,16.0,42.3,Sales,3.8,62.1,9.5,11304,High
